AtoB,BtoA,AtoG,GtoA,BtoC,CtoB,BtoE,EtoB,BtoG,GtoB,CtoD,DtoC,DtoE,EtoD,EtoF,FtoE,EtoG,GtoE,FtoG,GtoF,semmi,AB,AG,BC,BE,BG,CD,DE,EF,EG,FG
0.06545524470815212,0.019703698038209403,0.45545654060683827,0.35298301990495656,0.2630014915098846,0.030709850368726678,0.05051270577856459,0.24805895258029712,0.011006152330517275,0,0.04357684217522403,0.11271244789686775,0.05742127035224952,0.05626400338303131,0.049224970056288786,0.3043229559633284,0.008196300295960732,0,0.3447867196089958,0.46646269293735554,1,0,0,0,0,0,0,0,0,0,0
0,0,0.5209117853149904,0.372686717943166,0.2630014915098846,0.030709850368726678,0,0.24805895258029712,0.030709850368726678,0.014942538929587523,0.04357684217522403,0.11271244789686775,0.05742127035224952,0.1067767091615959,0.049224970056288786,0.3043229559633284,0.008196300295960732,0.05051270577856459,0.3447867196089958,0.46646269293735554,0,1,0,0,0,0,0,0,0,0,0
0.5209117853149904,0.37268671794316593,0,0,0.2630014915098846,0.030709850368726678,0.05051270577856459,0.25625525287625783,0.46646269293735554,0.3447867196089958,0.04357684217522403,0.11271244789686775,0.05742127035224952,0.05626400338303131,0.049224970056288786,0.3043229559633284,0,0,0.3447867196089958,0.46646269293735554,0,0,1,0,0,0,0,0,0,0,0
0.06545524470815212,0.019703698038209403,0.45545654060683827,0.35298301990495656,0,0,0.06545524470815212,0,0,0,0.0742866925439507,0.37571393940675235,0.08813112072097619,0.31926549489291595,0.06023112238680606,0.3043229559633284,0.008196300295960732,0,0.3447867196089958,0.45545654060683827,0,0,0,1,0,0,0,0,0,0,0
0.06545524470815212,0.019703698038209403,0.45545654060683827,0.35298301990495656,0.06545524470815209,0.030709850368726678,0,0,0.011006152330517275,0,0.09408954795378863,0.3607714004771649,0.05742127035224952,0.25381025018476383,0.049224970056288786,0.3043229559633284,0.008196300295960732,0,0.3447867196089958,0.46646269293735554,0,0,0,0,1,0,0,0,0,0,0
0.06545524470815212,0.019703698038209403,0.45545654060683827,0.35298301990495656,0.2630014915098846,0.019703698038209403,0.05051270577856459,0.24805895258029712,0,0,0.054582994505741306,0.11271244789686775,0.06842742268276679,0.05626400338303131,0.06023112238680606,0.3043229559633284,0.008196300295960732,0,0.3447867196089958,0.45545654060683827,0,0,0,0,0,1,0,0,0,0,0
0.06545524470815212,0.019703698038209403,0.45545654060683827,0.35298301990495656,0.37571393940675235,0.0742866925439507,0.09408954795378863,0.3607714004771649,0.011006152330517275,0,0,0,0.17013371824911727,0.09984084555825534,0.049224970056288786,0.3043229559633284,0.008196300295960732,0,0.3447867196089958,0.46646269293735554,0,0,0,0,0,0,1,0,0,0,0
0.06545524470815212,0.027899998334170135,0.45545654060683827,0.3447867196089958,0.3192654948929159,0.08813112072097619,0,0.20458528012847504,0.011006152330517275,0,0.09984084555825534,0.17013371824911727,0,0,0.049224970056288786,0.3043229559633284,0,0,0.3447867196089958,0.46646269293735554,0,0,0,0,0,0,0,1,0,0,0
0.06545524470815212,0.019703698038209403,0.45545654060683827,0.35298301990495656,0.2630014915098846,0.030709850368726678,0.05051270577856459,0,0.011006152330517275,0.24805895258029712,0.04357684217522403,0.11271244789686775,0.05742127035224952,0.05626400338303131,0,0,0.05742127035224952,0.005751297604466715,0.6491096755723242,0.5156876629936443,0,0,0,0,0,0,0,0,1,0,0
0.06545524470815212,0.027899998334170135,0.45545654060683827,0.3447867196089958,0.2630014915098846,0.030709850368726678,0.05051270577856459,0.25625525287625783,0.011006152330517275,0,0.04357684217522403,0.11271244789686775,0.05742127035224952,0.05626400338303131,0.049224970056288786,0.3043229559633284,0,0,0.3447867196089958,0.46646269293735554,0,0,0,0,0,0,0,0,0,1,0
0.06545524470815212,0.019703698038209403,0.45545654060683827,0.35298301990495656,0.2630014915098846,0.030709850368726678,0.061518858109081864,0.24805895258029712,0,0,0.04357684217522403,0.11271244789686775,0.05742127035224952,0.05626400338303131,0.5156876629936443,0.6491096755723242,0.35298301990495656,0.45545654060683827,0,0,0,0,0,0,0,0,0,0,0,0,1
0.010374934865168786,0.0055822366644899335,0.03825843727398941,0.057173178014753356,0.07335230773600264,0.012815444761349326,0.0019864146849588194,0.06496378755579267,0.0072332080968593926,0,0.25075778528194526,0.03970244076638502,0.010334102867102839,0.005534283281239971,0.003392186345886988,0.07049807083703265,0.006941916521215851,0,0.0502312614935375,0.0454916453708488,1,0,0,0,0,0,0,0,0,0,0
0,0,0.04863337213915819,0.0627554146792433,0.07335230773600264,0.012815444761349326,0,0.06496378755579267,0.012815444761349326,0.008388520180209967,0.25075778528194526,0.03970244076638502,0.010334102867102839,0.00752069796619879,0.003392186345886988,0.07049807083703265,0.006941916521215851,0.0019864146849588194,0.0502312614935375,0.0454916453708488,0,1,0,0,0,0,0,0,0,0,0
0.04863337213915819,0.06275541467924328,0,0,0.07335230773600264,0.012815444761349326,0.0019864146849588194,0.07190570407700853,0.0454916453708488,0.0502312614935375,0.25075778528194526,0.03970244076638502,0.010334102867102839,0.005534283281239971,0.003392186345886988,0.07049807083703265,0,0,0.0502312614935375,0.0454916453708488,0,0,1,0,0,0,0,0,0,0,0
0.010374934865168786,0.0055822366644899335,0.03825843727398941,0.057173178014753356,0,0,0.010374934865168786,0,0,0,0.2635732300432946,0.11305474850238767,0.023149547628452165,0.0788865910172426,0.010625394442746381,0.07049807083703265,0.006941916521215851,0,0.0502312614935375,0.03825843727398941,0,0,0,1,0,0,0,0,0,0,0
0.010374934865168786,0.0055822366644899335,0.03825843727398941,0.057173178014753356,0.010374934865168786,0.012815444761349326,0,0,0.0072332080968593926,0,0.25274419996690406,0.1046662283221777,0.010334102867102839,0.06851165615207382,0.003392186345886988,0.07049807083703265,0.006941916521215851,0,0.0502312614935375,0.0454916453708488,0,0,0,0,1,0,0,0,0,0,0
0.010374934865168786,0.0055822366644899335,0.03825843727398941,0.057173178014753356,0.07335230773600264,0.0055822366644899335,0.0019864146849588194,0.06496378755579267,0,0,0.25799099337880466,0.03970244076638502,0.017567310963962232,0.005534283281239971,0.010625394442746381,0.07049807083703265,0.006941916521215851,0,0.0502312614935375,0.03825843727398941,0,0,0,0,0,1,0,0,0,0,0
0.010374934865168786,0.0055822366644899335,0.03825843727398941,0.057173178014753356,0.11305474850238767,0.2635732300432946,0.25274419996690406,0.1046662283221777,0.0072332080968593926,0,0,0,0.05003654363348786,0.2562920685631852,0.003392186345886988,0.07049807083703265,0.006941916521215851,0,0.0502312614935375,0.0454916453708488,0,0,0,0,0,0,1,0,0,0,0
0.010374934865168786,0.012524153185705784,0.03825843727398941,0.0502312614935375,0.07888659101724262,0.023149547628452165,0,0.06511946980618684,0.0072332080968593926,0,0.2562920685631852,0.05003654363348786,0,0,0.003392186345886988,0.07049807083703265,0,0,0.0502312614935375,0.0454916453708488,0,0,0,0,0,0,0,1,0,0,0
0.010374934865168786,0.0055822366644899335,0.03825843727398941,0.057173178014753356,0.07335230773600264,0.012815444761349326,0.0019864146849588194,0,0.0072332080968593926,0.06496378755579267,0.25075778528194526,0.03970244076638502,0.010334102867102839,0.005534283281239971,0,0,0.010334102867102839,0.0035478685962811512,0.12072933233057015,0.04888383171673579,0,0,0,0,0,0,0,0,1,0,0
0.010374934865168786,0.012524153185705784,0.03825843727398941,0.0502312614935375,0.07335230773600264,0.012815444761349326,0.0019864146849588194,0.07190570407700853,0.0072332080968593926,0,0.25075778528194526,0.03970244076638502,0.010334102867102839,0.005534283281239971,0.003392186345886988,0.07049807083703265,0,0,0.0502312614935375,0.0454916453708488,0,0,0,0,0,0,0,0,0,1,0
0.010374934865168786,0.0055822366644899335,0.03825843727398941,0.057173178014753356,0.07335230773600264,0.012815444761349326,0.009219622781818211,0.06496378755579267,0,0,0.25075778528194526,0.03970244076638502,0.010334102867102839,0.005534283281239971,0.04888383171673579,0.12072933233057015,0.057173178014753356,0.03825843727398941,0,0,0,0,0,0,0,0,0,0,0,0,1
